InteractionID,GeneSymbol,DrugID,DrugName,ConceptID,InteractionType,Directionality,Score,PMIDs,Sources
IX03453,CYP3A4,D02660,ATHRAQUINONES A,chembl:CHEMBL55814,,,0.005839351069226569,,DTC
IX03454,CYP3A4,D00711,SULPIRIDE,rxcui:10239,,,0.0083419300988951,22931300,DTC
IX03455,CYP3A4,D02661,CHEMBL:CHEMBL2094549,chembl:CHEMBL2094549,,,0.01459837767306642,,DTC
IX03456,CYP3A4,D02662,(S)-ROSCOVITINE,chembl:CHEMBL133342,,,0.01167870213845313,,DTC
IX03457,CYP3A4,D02663,MAPROTILINE,rxcui:6646,,,0.004491808514789669,,DTC
IX03458,CYP3A4,D02664,GSK369796,iuphar.ligand:10411,,,0.1167870213845313,19222165,DTC
IX03459,CYP3A4,D01078,FLUVASTATIN,rxcui:41127,,,0.01167870213845313,16103896,PharmGKB
IX03460,CYP3A4,D02665,CHELIDONINE (+),chembl:CHEMBL436279,,,0.05839351069226569,,DTC
IX03461,CYP3A4,D02666,CLENBUTEROL HYDROCHLORIDE,rxcui:235955,,,0.01946450356408856,,DTC
IX03462,CYP3A4,D02667,"ORSELLINIC ACID, ETHYL ESTER",chembl:CHEMBL1601166,,,0.05839351069226569,,DTC
IX03463,CYP3A4,D02668,QUINIDINE,rxcui:9068,,,0.0175180532076797,19117415|22931300|9187528|11353757,DTC|PharmGKB
IX03464,CYP3A4,D00431,LOVASTATIN,rxcui:6472,,,0.01048088653450922,20386561|18302447|17655375|22931300,PharmGKB|NCI|DTC
IX03465,CYP3A4,D02669,HEXESTROL,drugbank:DB07931,,,0.009732251782044283,,DTC
IX03466,CYP3A4,D02670,AMIDATE,chembl:CHEMBL23731,,,0.02919675534613284,,DTC
IX03467,CYP3A4,D00865,TYRPHOSTIN 47,chembl:CHEMBL77030,,,0.003649594418266605,,DTC
IX03468,CYP3A4,D02671,FELBAMATE,rxcui:24812,,,0.01946450356408856,9187528|22931300,PharmGKB|DTC
IX03469,CYP3A4,D01346,VANDETANIB,rxcui:1098413,,,0.002013569334216058,34648813,PharmGKB
IX03470,CYP3A4,D02672,"4,4'-THIODIANILINE",chembl:CHEMBL348856,,,0.02919675534613284,,DTC
IX03471,CYP3A4,D00913,TPCK,chembl:CHEMBL60718,,,0.003244083927348093,,DTC
IX03472,CYP3A4,D02673,CHEMBL:CHEMBL453384,chembl:CHEMBL453384,,,0.1167870213845313,19284751,DTC
IX03473,CYP3A4,D02674,UMIFENOVIR,ncit:C152799,,,0.02919675534613284,,PharmGKB
IX03474,CYP3A4,D02675,METHYLHOMATROPINE,rxcui:1546413,,,0.01297633570939237,22931300,DTC
IX03475,CYP3A4,D02676,ZOLPIDEM TARTRATE,rxcui:221183,,,0.008983617029579338,9187528,PharmGKB
IX03476,CYP3A4,D02074,RIFAMPIN,rxcui:9384,,,0.01042741262361887,22931300|26291341|24839948,DTC|PharmGKB
IX03477,CYP3A4,D02677,CERITINIB,rxcui:1535457,,,0.006869824787325375,23837797,DTC
IX03478,CYP3A4,D00490,DIPHENHYDRAMINE,rxcui:3498,,,0.01459837767306642,22931300,DTC
IX03479,CYP3A4,D02678,MICAFUNGIN,rxcui:325887,,,0.1167870213845313,16205037,NCI
IX03480,CYP3A4,D02679,OXYPHENCYCLIMINE HYDROCHLORIDE,rxcui:91164,,,0.01946450356408856,,DTC
IX03481,CYP3A4,D02680,ATRANORIN,chembl:CHEMBL173395,,,0.05839351069226569,,DTC
IX03482,CYP3A4,D02681,CHEMBL:CHEMBL1256916,chembl:CHEMBL1256916,,,0.02919675534613284,,DTC
IX03483,CYP3A4,D02682,U50488,iuphar.ligand:1652,,,0.01167870213845313,,DTC
IX03484,CYP3A4,D02683,OKADAIC ACID,iuphar.ligand:5349,,,0.03892900712817713,22608922,DTC
IX03485,CYP3A4,D02684,(S)-NITRENDIPINE,chembl:CHEMBL251230,,,0.01946450356408856,,DTC
IX03486,CYP3A4,D02685,CODEINE ANHYDROUS,rxcui:1545976,,,0.009732251782044283,9187528,PharmGKB
IX03487,CYP3A4,D02686,ATAZANAVIR,rxcui:343047,,,0.01297633570939237,22394315,PharmGKB
IX03488,CYP3A4,D00521,CLOBENPROPIT,iuphar.ligand:1223,,,0.006488167854696187,,DTC
IX03489,CYP3A4,D02687,CLONAZEPAM,rxcui:2598,,,0.004671480855381255,9187528,PharmGKB
IX03490,CYP3A4,D02688,CHEMBL:CHEMBL29197,chembl:CHEMBL29197,,,0.007299188836533211,,DTC
IX03491,CYP3A4,D02689,MEPHENYTOIN,rxcui:6757,,,0.009732251782044283,9187528,PharmGKB
IX03492,CYP3A4,D02690,DARUNAVIR,rxcui:460132,,,0.01946450356408856,,PharmGKB
IX03493,CYP3A4,D02691,AMOXICILLIN ANHYDROUS,rxcui:1297882,,,0.01229337067205593,22931300|12152002,DTC|NCI
IX03494,CYP3A4,D02692,MICONAZOLE NITRATE,rxcui:42790,,,0.01094878325479981,9187528,PharmGKB|DTC
IX03495,CYP3A4,D02693,CHEMBL:CHEMBL585045,chembl:CHEMBL585045,,,0.01459837767306642,,DTC
IX03496,CYP3A4,D02694,&ALPHA;-ERGOCRYPTINE,iuphar.ligand:271,,,0.005839351069226569,,DTC
IX03497,CYP3A4,D02521,CHLORDANE,iuphar.ligand:2831,,,0.009732251782044283,,DTC
IX03498,CYP3A4,D02695,RO 04-6790,iuphar.ligand:274,,,0.01946450356408856,,DTC
IX03499,CYP3A4,D01752,TRICHOSTATIN A,ncit:C1261,,,0.005839351069226569,12695546,NCI
IX03500,CYP3A4,D02696,ITRACONAZOLE,rxcui:28031,,,0.01297633570939237,9187528,PharmGKB
IX03501,CYP3A4,D02697,CANAVANINE,drugbank:DB01833,,,0.02919675534613284,,DTC
IX03502,CYP3A4,D01847,ACALABRUTINIB,rxcui:1986808,,,0.006869824787325375,34153224,PharmGKB
IX03503,CYP3A4,D02698,BENZPHETAMINE,rxcui:1422,,,0.03892900712817713,9187528,PharmGKB
IX03504,CYP3A4,D02699,GRAVEOLINE,chembl:CHEMBL1371756,,,0.01459837767306642,,DTC
IX03505,CYP3A4,D02700,ARCTIGENIN,drugbank:DB16880,,,0.02919675534613284,,DTC
IX03506,CYP3A4,D02701,BIOCHANIN A,iuphar.ligand:2829,,,0.004866125891022141,,DTC
IX03507,CYP3A4,D02702,NIACIN,rxcui:7393,,,0.0083419300988951,22931300,DTC
IX03508,CYP3A4,D02703,TICLOPIDINE,rxcui:10594,,,0.008983617029579338,22931300,DTC
IX03509,CYP3A4,D02042,LENVATINIB,rxcui:1603296,,,0.006146685336027967,36982571,PharmGKB
IX03510,CYP3A4,D02704,"5,7-DIHYDROXY-4-METHYLCOUMARIN",chembl:CHEMBL12252,,,0.01459837767306642,,DTC
IX03511,CYP3A4,D02705,IBUDILAST,ncit:C65876,,,0.003649594418266605,,DTC
IX03512,CYP3A4,D02706,BROMPERIDOL,rxcui:19777,,,0.01459837767306642,,DTC
IX03513,CYP3A4,D02707,APIOL,chembl:CHEMBL1560118,,,0.02919675534613284,,DTC
IX03514,CYP3A4,D00788,ACETOCHLOR,chembl:CHEMBL1517425,,,0.01167870213845313,,DTC
IX03515,CYP3A4,D02708,CISAPRIDE,rxcui:35255,,,0.0166838601977902,9187528,PharmGKB
IX03516,CYP3A4,D01363,TESTOSTERONE,rxcui:10379,,,0.008983617029579337,9187528|29263648|23665933|22931300,PharmGKB|DTC
IX03517,CYP3A4,D02709,PROGUANIL,rxcui:2382,,,0.03892900712817713,9187528,PharmGKB
