DrugID,DrugDBID,Name,Modality,MechanismOfAction,MaxTrialPhase,IsApproved,HasBeenWithdrawn,SMILES,MolecularWeight
D05997,ncit:C167210,ENBEZOTINIB,,,,False,,,
D05998,drugbank:DB05169,AT9283,Small molecule,inhibitor,,False,,,
D05999,ncit:C199307,RET INHIBITOR TY-1091,,,,False,,,
D06000,iuphar.ligand:5933,AZD1480,Kinase Inhibitors,,,False,,,
D06001,rxcui:1727454,ALECTINIB HYDROCHLORIDE,,inhibitor,,True,,,
D06002,chembl:CHEMBL4074884,MITOQUINONE MESYLATE,,,,False,,,
D06003,ncit:C187107,RET INHIBITOR SY-5007,,,,False,,,
D06004,ncit:C48402,LESTAURTINIB,Pan-TK inhibitor,inhibitor,,False,,,
D06005,ncit:C200562,RET INHIBITOR FHND5071,,,,False,,,
D06006,chembl:CHEMBL3355009,GSK-3179106,,,,False,,,
D06007,ncit:C189067,RET INHIBITOR EP0031,,,,False,,,
D06008,ncit:C91394,JAK2 INHIBITOR AZD1480,,,,False,,,
D06009,ncit:C176968,VEPAFESTINIB,,,,False,,,
D06010,ncit:C186653,RET INHIBITOR HS-10365,,,,False,,,
D06011,chembl:CHEMBL4650296,BOS-589,,inhibitor,,False,,,
D06012,ncit:C75190,MURAGLITAZAR,Small molecule,,,False,,,
D06013,chembl:CHEMBL3969876,IMARIKIREN HYDROCHLORIDE,,inhibitor,,False,,,
D06014,chembl:CHEMBL4297361,1.ALPHA.-HYDROXYVITAMIN D5,Small molecule,,,False,,,
D06015,chembl:CHEMBL1667,ALISKIREN FUMARATE,,inhibitor,,True,,,
D06016,chembl:CHEMBL60550,TERLAKIREN,,,,False,,,
D06017,iuphar.ligand:12196,SITOKIREN,,inhibitor,,False,,,
D06018,ncit:C73099,REMIKIREN,Antihypertensive Agents,,,False,,,
D06019,rxcui:325646,ALISKIREN,Antihypertensive Agents,,,True,,,
D06020,drugbank:DB12416,VTP-27999,small molecule,,,False,,,
D06021,rxcui:233272,BEXAROTENE,Small Molecule,agonist,,True,,,
D06022,ncit:C140551,RETINOID X RECEPTOR AGONIST IRX4204,,,,False,,,
D06023,iuphar.ligand:10186,"COMPOUND 28 [HEITEL ET AL., 2019]",,agonist,,False,,,
D06024,chembl:CHEMBL75133,IRX-4204,,agonist,,False,,,
D06025,rxcui:7300,NEOMYCIN SULFATE,,inhibitor,,True,,,
D06026,rxcui:1549556,DIHYDROSTREPTOMYCIN SULFATE,,inhibitor,,True,,,
D06027,rxcui:6398,LINCOMYCIN,,inhibitor,,True,,,
D06028,ncit:C83613,CETHROMYCIN,,inhibitor,,False,,,
D06029,ncit:C166991,NAFITHROMYCIN,,inhibitor,,False,,,
D06030,rxcui:1870193,GENTAMICIN SULFATE,,inhibitor,,True,,,
D06031,rxcui:4055,ERYTHROMYCIN ESTOLATE,,inhibitor,,True,,,
D06032,rxcui:4556,FRAMYCETIN,,inhibitor,,True,,,
D06033,rxcui:142446,TETRACYCLINE HYDROCHLORIDE,,inhibitor,,True,,,
D06034,rxcui:82036,LINCOMYCIN HYDROCHLORIDE,,inhibitor,,True,,,
D06035,rxcui:203183,KANAMYCIN SULFATE,,inhibitor,,True,,,
D06036,rxcui:1368468,TYLVALOSIN TARTRATE,,inhibitor,,False,,,
D06037,ncit:C152482,SUTEZOLID,,inhibitor,,False,,,
D06038,rxcui:81982,CLINDAMYCIN HYDROCHLORIDE,,inhibitor,,True,,,
D06039,rxcui:1367291,PIRLIMYCIN HYDROCHLORIDE,,inhibitor,,False,,,
D06040,rxcui:10864,TROLEANDOMYCIN,,inhibitor,,True,,,
D06041,rxcui:24351,ERYTHROMYCIN STEARATE,,inhibitor,,True,,,
D06042,ncit:C65248,BEKANAMYCIN,,inhibitor,,False,,,
D06043,rxcui:2582,CLINDAMYCIN,,inhibitor,,True,,,
D06044,rxcui:6084,JOSAMYCIN,,inhibitor,,False,,,
D06045,rxcui:384455,TIGECYCLINE,,inhibitor,,True,,,
D06046,rxcui:82065,OXYTETRACYCLINE CALCIUM,,inhibitor,,True,,,
D06047,chembl:CHEMBL3137691,QUINUPRISTIN/DALFOPRISTIN,,inhibitor,,True,,,
D06048,rxcui:9991,SPIRAMYCIN,,inhibitor,,True,,,
D06049,ncit:C66655,VIOMYCIN SULFATE,,inhibitor,,True,,,
D06050,rxcui:9806,SISOMICIN,,inhibitor,,False,,,
D06051,rxcui:203162,MECLOCYCLINE SULFOSALICYLATE,,inhibitor,,True,,,
D06052,rxcui:1113697,GAMITHROMYCIN,,inhibitor,,False,,,
D06053,rxcui:2052872,PLAZOMICIN SULFATE,,inhibitor,,True,,,
D06054,rxcui:2055906,ERAVACYCLINE,,inhibitor,,True,,,
D06055,ncit:C81442,RADEZOLID,,inhibitor,,False,,,
D06056,rxcui:203193,NETILMICIN SULFATE,,inhibitor,,True,,,
